GO:0005829	cytosol
GO:0031410	cytoplasmic vesicle
GO:0000935	division septum
GO:0005628	prospore membrane
GO:0005576	extracellular region
GO:0009986	cell surface
GO:0005789	endoplasmic reticulum membrane
GO:0015629	actin cytoskeleton
GO:0010494	cytoplasmic stress granule
GO:0000932	P-body
GO:0000407	phagophore assembly site
GO:0005777	peroxisome
GO:0005794	Golgi apparatus
GO:0005938	cell cortex
GO:0005618	cell wall
GO:0022626	cytosolic ribosome
GO:0030479	actin cortical patch
GO:0005634	nucleus
GO:0000776	kinetochore
GO:0015630	microtubule cytoskeleton
GO:0005643	nuclear pore
GO:0034399	nuclear periphery
GO:0005730	nucleolus
GO:0005654	nucleoplasm
GO:0005768	endosome
GO:0005773	vacuole
GO:0070938	contractile ring
GO:0072686	mitotic spindle
GO:0005816	spindle pole body
GO:0005783	endoplasmic reticulum
GO:0005886	plasma membrane
GO:0005739	mitochondrion
GO:0005694	chromosome
GO:0030684	preribosome
